"2930065","S57NK Janko","Private Call","No"
"2930066","S50XX Kristjan","Private Call","No"
"2930067","S56AL Aleksander","Private Call","No"
"2930068","S57NA Klavdij","Private Call","No"
"2930069","S56RAW Andrej","Private Call","No"
"2930070","S56PYS Sebastjan","Private Call","No"
"2930071","S56ITR Silvo","Private Call","No"
"2930072","S58OW Humi","Private Call","No"
"2930073","S53AAN Ajdovscin","Private Call","No"
"2930074","S55G Mike","Private Call","No"
"2930075","S57HFV Lojze","Private Call","No"
"2930076","S53X Milos","Private Call","No"
"2930077","S51WND RK Burja","Private Call","No"
"2930078","S52JAN Janez","Private Call","No"
"2930079","S58G Damijan","Private Call","No"
"2930080","S56PQF Franc","Private Call","No"
"2930081","S59DKS RK NG","Private Call","No"
"2930082","S55DMR DMRLink","Private Call","No"
"2930083","S56IUL Mitja","Private Call","No"
"2930084","S59DEM RK PO","Private Call","No"
"2930085","S55SS Haring","Private Call","No"
"2930086","S59ZL Blaz","Private Call","No"
"2930087","S58SGP Gvido","Private Call","No"
"2930088","S57BM Matej","Private Call","No"
"2930089","S51RBC RK Bovec","Private Call","No"
"2930090","S57BKB Bruno","Private Call","No"
"2930091","S57BSU Ljubo","Private Call","No"
"2930092","S52RS Mare","Private Call","No"
"2930093","S51CP Stojan","Private Call","No"
"2930094","S57ZL Zoran","Private Call","No"
"2930095","S51ZT Martin","Private Call","No"
"2930096","S57OM Oleg","Private Call","No"
"2930097","S57EEW Egon","Private Call","No"
"2930098","S56PA Primoz","Private Call","No"
"2930099","S56WAN Andrej","Private Call","No"
"2930100","S55C Zdravko","Private Call","No"
"2930101","S55EI Marko","Private Call","No"
"2930102","S57OEK Emil","Private Call","No"
"2930103","S57PNX Mitja","Private Call","No"
"2930104","S51DA David","Private Call","No"
"2930105","S53GA Damjan","Private Call","No"
"2930106","S55DB Deni","Private Call","No"
"2930107","S59DBO RK Bohinj","Private Call","No"
"2930108","S56EB Enej","Private Call","No"
"2930109","S55KB Klemen","Private Call","No"
"2930110","S59RA Ales","Private Call","No"
"2930111","S55E Joze","Private Call","No"
"2930112","S51PW Peter","Private Call","No"
"2930113","S51UL Ivo","Private Call","No"
"2930114","S56AFJ Janko","Private Call","No"
