"MRZLICA-A", "FM", "25", "431.675000", "439.275000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "120", "0", "HIGH", "No", "No", "No", "No", "Yes", "123.0", "123.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "System 1", "NONE", "-S5-", "1", "NONE", "1", "1"
"NANOS", "FM", "25", "431.100000", "438.700000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "120", "0", "LOW", "No", "No", "No", "No", "Yes", "123.0", "123.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "System 1", "NONE", "-S5-", "1", "NONE", "1", "1"
"PECNA REBER", "FM", "25", "431.225000", "438.825000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "120", "0", "LOW", "No", "No", "No", "No", "Yes", "123.0", "123.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "System 1", "NONE", "-S5-", "1", "NONE", "1", "1"
"PIRAN", "FM", "25", "431.200000", "438.800000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "120", "0", "LOW", "No", "No", "No", "No", "Yes", "123.0", "123.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "System 1", "NONE", "-S5-", "1", "NONE", "1", "1"
"PMR 1", "FM", "12.5", "446.006250", "446.006250", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "0", "LOW", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"PMR 2", "FM", "12.5", "446.018750", "446.018750", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "0", "LOW", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"PMR 3", "FM", "12.5", "446.031250", "446.031250", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "0", "LOW", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"PMR 4", "FM", "12.5", "446.043750", "446.043750", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "0", "LOW", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"PMR 5", "FM", "12.5", "446.056250", "446.056250", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "0", "LOW", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"PMR 6", "FM", "12.5", "446.068750", "446.068750", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "0", "LOW", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
